Days	Dose	Induced	Ratio	Osteoimage RFU	DAPI
7	0.6	yes	0.008340053	1121.421296	134462.1343
7	0.6	yes	0.010218483	1131.421296	110723.0231
7	0.6	yes	0.014475807	1586.75463	109614.2454
7	0.6	yes	0.015224496	1904.199074	125074.6898
7	3	yes	0.015342154	1946.643519	126882.0231
7	3	yes	0.022962848	1824.865741	79470.35648
7	3	yes	0.002576644	268.5324074	104217.912
7	3	yes	0.01296512	1336.75463	103103.912
7	15	yes	0.031004277	2157.199074	69577.46759
7	15	yes	0.000803701	57.97685185	72137.35648
7	15	yes	0.003310948	244.087963	73721.46759
7	15	yes	0.009025944	598.4212963	66300.13426
7	15	yes	0.013793879	768.5324074	55715.46759
7	15	yes	0.013109045	881.1990741	67220.68981
17	0	yes	4.614062236	835860.4444	181155
17	0	yes	1.750626927	323684.8889	184896.5556
17	0	yes	4.340419963	770137.1111	177433.7778
17	0	yes	4.098301024	706672.7778	172430.6667
17	0.0048	yes	4.9410952	807063.6667	163337
17	0.0048	yes	1.480235123	257475.2222	173942.1111
17	0.0048	yes	4.753852733	783040.8889	164717.1111
17	0.0048	yes	3.985024295	703389.1111	176508.1111
17	0.024	yes	8.391360268	1413603.889	168459.4444
17	0.024	yes	4.072482663	812163	199427
17	0.024	yes	4.3651952	838701.4444	192133.7778
17	0.024	yes	4.427137121	866796.5556	195791.6667
17	0.12	yes	5.481580239	1084757.222	197891.3333
17	0.12	yes	6.063917978	1005056	165743.6667
17	0.12	yes	6.295996138	1120165.444	177917.1111
17	0.12	yes	5.143372516	889636	172967.4444
17	0.6	yes	3.783154871	665793.2222	175988.8889
17	0.6	yes	4.324953331	874471.4444	202192.1111
17	0.6	yes	4.112721493	819164.5556	199178.2222
17	0.6	yes	2.914285041	508371.4444	174441.2222
17	3	yes	1.36113302	250037.1111	183697.7778
17	3	yes	1.336962991	263570.6667	197141.3333
17	3	yes	2.155926143	355318.6667	164810.2222
17	3	yes	1.298109406	214628.1111	165339
17	15	yes	0.006746984	745.3333333	110469.1111
17	15	yes	0.010064506	1108.111111	110100.8889
17	15	yes	0.005831687	492	84366.66667
17	15	yes	0.0120367	1146.888889	95282.66667
17	15	yes	0.025355747	2028.555556	80003.77778
17	15	yes	0.004476436	505.6666667	112961.8889
21	0	yes	5.093747903	834836.4167	163894.3333
21	0	yes	6.814530223	1068429.75	156787
21	0	yes	3.817747001	753294.0833	197313.7778
21	0	yes	3.798340223	725303.1944	190952.6667
21	0.0048	yes	5.420273521	1094517.639	201930.3333
21	0.0048	yes	15.06750828	1296086.972	86018.66667
21	0.0048	yes	5.057769595	955467.75	188910.8889
21	0.0048	yes	4.097737919	785613.3056	191718.7778
21	0.024	yes	14.06923019	1389142.639	98736.22222
21	0.024	yes	7.66051298	954523.75	124603.1111
21	0.024	yes	3.547435096	690803.8611	194733.3333
21	0.024	yes	2.632850381	572020.9722	217263
21	0.12	yes	6.709493993	1077924.194	160656.5556
21	0.12	yes	6.392380512	1190812.417	186286.2222
21	0.12	yes	6.504127701	1082742.861	166470.1111
21	0.12	yes	6.762066828	1061150.861	156927
21	0.6	yes	4.166098717	853004.0833	204748.8889
21	0.6	yes	4.390756403	869008.75	197917.7778
21	0.6	yes	4.460041346	824501.0833	184864
21	0.6	yes	4.191796585	836911.75	199654.6667
21	3	yes	4.027792687	826281.0833	205144.8889
21	3	yes	4.26136198	805460.8611	189014.8889
21	3	yes	4.517152468	737600.3056	163288.7778
21	3	yes	4.599744178	714116.4167	155251.3333
21	15	yes	0.07475947	8510.194444	113834.3333
21	15	yes	0.100182982	10849.63889	108298.2222
21	15	yes	0.101281189	8679.527778	85697.33333
21	15	yes	0.489865046	37661.75	76881.88889
21	15	yes	0.121679546	8669.194444	71246.11111
21	15	yes	0.075245908	6177.638889	82099.33333
